TCP Load,Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,3.4077,1.985,28885,43.31,8.2448,0
0.2,ABM,3.5267,2.0136,922541,17.993,8.0366,17996
0.2,Reverie,3.472,1.994,23993,44.903,8.1199,0
0.4,DT,6.0272,2.783,94197,50.333,11.992,10480
0.4,ABM,6.1954,2.8304,2378125,22.106,11.368,31440
0.4,Reverie,5.9621,2.8291,56085,54.401,11.701,1048
0.6,DT,9.4227,5.1737,242197,52.882,15.727,14612
0.6,ABM,10.359,5.4155,4441437,25.191,14.813,44760
0.6,Reverie,9.5235,5.3348,129149,59.5,15.799,10480
