TCP Load,Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,5.4243,2.8198,70297,54.897,25.109,0
0.2,ABM,4.0226,2.4404,347313,25.245,24.11,13624
0.2,Reverie,5.413,2.6184,28449,61.815,25.815,0
0.4,DT,9.8258,5.0757,185597,62.222,28.732,13624
0.4,ABM,6.8453,4.2513,757145,31.865,28.441,22008
0.4,Reverie,9.8706,4.592,49945,69.364,32.23,6288
0.6,DT,18.002,11.044,425053,63.727,30.106,83108
0.6,ABM,11.62,10.251,1321057,34.335,30.148,41920
0.6,Reverie,16.048,11.413,74417,71.152,37.553,13684
