Gamma Value,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.4,Reverie,20.413,2808660,15.047,36.469,0,17308
0.8,Reverie,20.32,2419012,15.015,36.893,0,16020
0.9,Reverie,20.383,2082396,15.217,37.31,0,14972
0.99,Reverie,20.013,962336,15.846,42.352,0,12396
0.999,Reverie,19.973,358738,19.411,59.878,0,9627.8
0.999999,Reverie,20.26,1366360,40.904,99.999,0,0
