TCP Load,Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,3.5376,1.9811,27596,42.783,11.743,0
0.2,ABM,3.616,2.0293,295436,21.206,11.41,13624
0.2,Reverie,3.6047,2.0135,17480,48.544,11.659,0
0.4,DT,5.424,2.7156,63140,48.276,15.574,6228
0.4,ABM,5.6238,2.7526,628252,23.265,14.824,20960
0.4,Reverie,5.3284,2.7637,28144,55.001,15.407,0
0.6,DT,8.6033,4.616,134256,50.577,19.071,10611
0.6,ABM,9.7162,4.9376,1135360,25.875,17.989,29400
0.6,Reverie,8.7075,4.8058,52368,59.47,18.988,5300
