TCP Load,Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,4.2441,2.5529,31877,42.984,27.733,1048
0.2,ABM,3.7483,2.3669,193489,20.357,27.233,16768
0.2,Reverie,4.1717,2.4443,12077,51.538,31.813,0
0.4,DT,7.5063,4.6964,73397,49.526,29.482,8384
0.4,ABM,6.5703,3.8362,444817,24.834,29.482,22008
0.4,Reverie,7.5306,4.4169,23401,60.749,36.56,0
0.6,DT,11.506,9.4476,137289,52.164,29.565,13624
0.6,ABM,10.705,8.8756,710989,25.613,29.648,30358
0.6,Reverie,11.108,9.005,34341,66.32,38.892,7336
