TCP Load,Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,4.2306,2.7805,67961,43.53,29.232,0
0.2,ABM,3.7409,2.3478,526637,17.035,20.071,13624
0.2,Reverie,4.1893,2.5435,20833,48.92,26.775,0
0.4,DT,7.6733,4.8948,176261,49.677,33.895,13624
0.4,ABM,6.4495,3.7041,1289901,22.393,23.36,24104
0.4,Reverie,7.3829,4.1914,54109,60.003,30.866,1048
0.6,DT,12.12,8.9107,477393,52.938,37.447,28871
0.6,ABM,10.188,7.1383,2444325,25.79,25.5,35632
0.6,Reverie,11.749,8.0692,92725,64.337,34.728,11528
