TCP Load,Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,4.1217,3.0271,7536,77.429,68.207,0
0.2,ABM,3.8394,2.6302,141732,33.913,47.22,7336
0.2,Reverie,4.1452,2.8632,2376,84.879,66.209,0
0.4,DT,6.4545,5.0525,22432,92.585,78.557,1048
0.4,ABM,5.8608,3.967,336240,37.674,53.362,12576
0.4,Reverie,6.68,4.4777,6736,104.22,69.873,0
0.6,DT,10.586,9.2716,66380,98.455,87.13,8384
0.6,ABM,9.6636,6.9718,739136,42.659,56.333,18532
0.6,Reverie,10.671,8.065,15716,120.76,78.201,0
